epoch,voltage,current,power,power_factor,power_consumption
1.554992701e+09,228.2,0.44,40,0.401,4
1.554992702e+09,228.2,0.44,37,0.37,4
1.554992703e+09,228.2,0.44,34,0.34,4
1.554992704e+09,228.1,0.35,33,0.414,4
1.554992705e+09,228.3,0.23,86,1,4
1.554992706e+09,228.3,0.15,84,1,4
1.554992707e+09,228.4,0.15,82,1,4
1.554992708e+09,228.4,0.15,79,1,4
1.554992709e+09,228.4,0.16,41,1,4
1.55499271e+09,228.2,0.37,45,0.539,4
1.554992711e+09,228.2,0.41,49,0.52,4
1.554992712e+09,228.2,0.44,55,0.5489999999999999,4
1.554992713e+09,228.2,0.44,58,0.5670000000000001,4
1.554992714e+09,228.3,0.43,59,0.604,4
1.554992715e+09,228.3,0.32,56,0.7509999999999999,4
1.554992716e+09,228.6,0.21,52,1,4
1.554992717e+09,228.6,0.15,47,1,4
1.554992718e+09,228.7,0.15,76,1,4
1.554992719e+09,228.6,0.15,81,1,4
1.55499272e+09,228.7,0.15,84,1,4
1.554992721e+09,228.5,0.33,86,1,4
1.554992722e+09,228.3,0.44,35,0.348,4
1.554992723e+09,228.4,0.44,34,0.342,4
1.554992724e+09,228.2,0.44,35,0.35200000000000004,4
1.554992725e+09,228.4,0.4,41,0.445,4
1.554992726e+09,228.4,0.27,80,1,4
1.554992727e+09,228.5,0.21,76,1,4
1.554992728e+09,228.5,0.16,71,1,4
1.554992729e+09,228.6,0.15,67,1,4
1.55499273e+09,228.6,0.14,55,1,4
1.554992731e+09,228.6,0.15,59,1,4
1.554992732e+09,228.5,0.34,64,0.8079999999999999,4
1.554992733e+09,228.3,0.44,75,0.747,4
1.554992734e+09,228.2,0.44,51,0.503,4
1.554992735e+09,228.2,0.43,44,0.45,4
1.554992736e+09,228.2,0.41,41,0.444,4
1.554992737e+09,228.2,0.27,37,0.595,4
1.554992738e+09,228.3,0.16,83,1,4
1.554992739e+09,228.3,0.15,74,1,4
1.55499274e+09,228.3,0.21,70,1,4
1.554992741e+09,228.1,0.43,81,0.8170000000000001,4
1.554992742e+09,228,0.44,43,0.428,4
1.554992743e+09,228.2,0.41,41,0.43,4
1.554992744e+09,228.2,0.44,49,0.486,4
1.554992745e+09,228.3,0.44,39,0.389,4
